Región,Provincia,Localidad,Lectura_28_09_25_al_13_10_25,Lectura_14_10_25_al_29_10_25,Lectura_30_10_25_al_14_11_25
Centro Norte,Córdoba,Santa Catalina,0,0,0
Centro Norte,Córdoba,Tancacha,0,0,0
Centro Norte,Córdoba,Villa de Maria,0,0,0
Centro Norte,Córdoba,Arroyito,0,0,Sin datos
Centro Norte,Córdoba,Villa Sta. Rosa,0,0,0
Centro Norte,Córdoba,Hernando,1,2,Sin datos
Centro Norte,Córdoba,Piquillín,0,0,0
Centro Norte,Córdoba,Las Chilcas,0,0,0
Centro Norte,Córdoba,Sebastián el Cano,0,0,0
Centro Norte,Córdoba,El Tío,0,0,0
Centro Norte,Córdoba,Colonia Tirolesa,0,0,0
Centro Norte,Córdoba,Las Astillas,0,1,1
Centro Norte,Córdoba,Mi Granja,1,0,0
Centro Norte,Córdoba,Sacanta,Trampa perdida,0,Sin datos
Centro Norte,Córdoba,Sinsacate,1,0,0
Centro Norte,Córdoba,Tala Norte,0,0,Sin datos
Centro Norte,Córdoba,Manfredi,0,0,0
Centro Norte,Córdoba,Brinkmann,0,0,0
Centro Norte,Santa Fe,Ceres,0,0,Sin datos
Centro Norte,Santa Fe,Gálvez,Trampa perdida,0,0
Centro Norte,Santa Fe,Humboldt,0,0,0
Centro Norte,Santa Fe,Landeta,Trampa perdida,0,0
Centro Norte,Santa Fe,Piamonte,Trampa perdida,0,0
Centro Norte,Santa Fe,Susana,Trampa perdida,0,0
Centro Norte,Santa Fe,San Guillermo,0,0,0
Centro Norte,Santa Fe,San Jorge,0,0,0
Centro Norte,Santa Fe,San Vicente,0,0,0
Centro Norte,Santa Fe,Santa Clara de Saguier,0,0,0
Centro Norte,Santa Fe,Vila,1,0,0
Centro Norte,Santa Fe,López,0,0,0
Centro Norte,Santa Fe,Campo Piaggio,Trampa perdida,0,0
Centro Norte,Santa Fe,San Carlos Norte,0,0,0
Centro Norte,Santa Fe,El Trébol,0,0,0
Centro Norte,Santa Fe,Emilia,0,0,0
Centro Norte,Santa Fe,Gálvez,Trampa perdida,Trampa perdida,0
Centro Norte,Santa Fe,La Camila,0,0,Sin datos
Centro Norte,Santa Fe,Maria Juana,0,0,0
Centro Norte,Santa Fe,Progreso,0,0,0
Centro Norte,Santa Fe,Sastre,2,1,1
Centro Norte,Santa Fe,Aldao,3,4,2
Centro Norte,Santa Fe,San Jerónimo Norte,0,3,4
Centro Norte,Santa Fe,Ataliva,0,0,0
Centro Norte,Santa Fe,Bernardo de Irigoyen,0,0,0
Centro Norte,Santa Fe,Crispi,0,Sin datos,0
Centro Norte,Santa Fe,Esperanza,6,0,Sin datos
Centro Norte,Santa Fe,Moisés Ville,0,0,0
Centro Norte,Santa Fe,Rincón de Ávila,0,0,Sin datos
Centro Norte,Santa Fe,San Fabián,0,0,0
Centro Norte,Santa Fe,San Martin de las Escobas,0,Sin datos,0
Centro Norte,Santa Fe,Cañada Rosquín,0,0,0
Centro Norte,Santa Fe,El Trébol 4,Sin datos,0,0
Centro Norte,Santa Fe,Centeno,Trampa perdida,0,0
Centro Norte,Santa Fe,Rafaela,0,0,0
Centro Norte,Santa Fe,Ceres,0,0,0
Centro Norte,Santa Fe,San Justo,0,Trampa perdida,0
Centro Norte,Santa Fe,Videla,,0,0
Centro Norte,Santa Fe,Angelica,,0,0
Centro Norte,Santa Fe,Fraga,,0,0
Centro Norte,Córdoba,San Francisco,,0,0
Centro Norte,Córdoba,Villa Fontana,,0,0
Centro Norte,Córdoba,Loma del Trozo,,0,0
Centro Norte,Córdoba,Colonia Marina,,0,0
Centro Sur,San Luís,La Angelina,0,0,0
Centro Sur,San Luís,Nueva Galia,Trampa perdida,0,0
Centro Sur,San Luís,Buena Esperanza,0,0,0
Centro Sur,San Luís,Juan Jorba,0,0,0
Centro Sur,San Luís,Naschel,0,0,0
Centro Sur,San Luís,San Luis 1,0,0,0
Centro Sur,San Luís,Quines,0,0,0
Centro Sur,Córdoba,Cnel. Baigorria,0,0,0
Centro Sur,Córdoba,General Roca,0,0,0
Centro Sur,Córdoba,Gral. Cabrera,0,0,0
Centro Sur,Córdoba,La playosa,0,0,0
Centro Sur,Córdoba,Ordoñez,0,0,0
Centro Sur,Córdoba,Tosquita,0,0,0
Centro Sur,Córdoba,Arroyo Cabral,0,0,0
Centro Sur,Córdoba,Villa María,0,0,0
Centro Sur,Córdoba,Benjamín Gould,0,0,0
Centro Sur,Córdoba,Buchardo,0,0,0
Centro Sur,Córdoba,Coronel Moldes,Trampa perdida,Trampa perdida,5
Centro Sur,Córdoba,Guatimozin,0,Trampa perdida,0
Centro Sur,Córdoba,Lecueder,0,0,Sin datos
Centro Sur,Córdoba,Villa Valeria,0,0,0
Centro Sur,Córdoba,Jovita,0,0,Sin datos
Centro Sur,Córdoba,Adelia María,0,0,0
Centro Sur,Córdoba,Cuatro Vientos,0,0,0
Centro Sur,Córdoba,General Levalle,0,0,0
Centro Sur,Córdoba,La Carlota,0,0,0
Centro Sur,Córdoba,Melo,1,0,0
Centro Sur,Córdoba,Vicuña Mackenna,1,1,0
Centro Sur,Córdoba,Villa valeria,0,0,0
Centro Sur,Córdoba,Punta Agua,0,0,0
Centro Sur,Córdoba,Ballestero,0,0,0
Centro Sur,Córdoba,Monte Buey,0,0,0
Centro Sur,Córdoba,Marcos Juarez 2,0,0,0
Centro Sur,Santa Fe,Álvarez,0,1,1
Centro Sur,Santa Fe,Hughes,Trampa perdida,0,0
Centro Sur,Santa Fe,Iriarte,0,0,0
Centro Sur,Santa Fe,Máximo Paz,Trampa perdida,0,0
Centro Sur,Santa Fe,San Jerónimo Sur,0,0,0
Centro Sur,Santa Fe,Teodelina,0,0,0
Centro Sur,Santa Fe,Timbúes,0,0,0
Centro Sur,Santa Fe,Venado tuerto,0,0,0
Centro Sur,Santa Fe,Villa Mugueta,0,0,0
Centro Sur,Santa Fe,Villada,0,0,0
Centro Sur,Santa Fe,Wheelright,0,0,0
Centro Sur,Santa Fe,J. B. Molina,0,0,0
Centro Sur,Santa Fe,Armstrong,Trampa perdida,0,0
Centro Sur,Santa Fe,Chañar Ladeado,0,0,Sin datos
Centro Sur,Santa Fe,Monte de Oca,0,0,Sin datos
Centro Sur,Santa Fe,Zavalla,0,0,1
Centro Sur,Santa Fe,Pueblo Uranga,0,0,0
Centro Sur,Santa Fe,Clucellas,Sin datos,0,0
Centro Sur,Santa Fe,Pujato,Sin datos,0,0
Centro Sur,Santa Fe,Cañada de Gómez,0,0,0
Centro Sur,Buenos Aires,La Violeta,0,0,0
Centro Sur,Buenos Aires,América,0,0,0
Centro Sur,Buenos Aires,Chacabuco,0,0,0
Centro Sur,Buenos Aires,Cnel. Dorrego,0,Trampa perdida,0
Centro Sur,Buenos Aires,Coronel Suarez,0,0,0
Centro Sur,Buenos Aires,Cura Malal,0,0,0
Centro Sur,Buenos Aires,Germania,0,0,0
Centro Sur,Buenos Aires,Gral. Arenales T1,0,0,0
Centro Sur,Buenos Aires,Gobernador Castro,0,0,0
Centro Sur,Buenos Aires,González Moreno,0,0,0
Centro Sur,Buenos Aires,Guaminí,0,0,Sin datos
Centro Sur,Buenos Aires,Leandro N. Alem,0,0,0
Centro Sur,Buenos Aires,Los Toldos,0,0,0
Centro Sur,Buenos Aires,Morse,0,0,0
Centro Sur,Buenos Aires,Pasman,0,0,0
Centro Sur,Buenos Aires,Rafael Obligado,,,0
Centro Sur,Buenos Aires,Florentino Ameghino,,,0
Centro Sur,Buenos Aires,Roberts,0,0,0
Centro Sur,Buenos Aires,Tres Arroyos,0,0,0
Centro Sur,Buenos Aires,Villa Gral. Savio,0,0,0
Centro Sur,Buenos Aires,Inés Indart,0,0,0
Centro Sur,Buenos Aires,Pirovano,0,0,0
Centro Sur,Buenos Aires,Pedro Gamen,,,0
Centro Sur,Buenos Aires,Pigüé,0,0,0
Centro Sur,Buenos Aires,25 de Mayo Salesiana,0,0,0
Centro Sur,Buenos Aires,Berraondo,0,0,0
Centro Sur,Buenos Aires,Carhue,0,0,0
Centro Sur,Buenos Aires,Chascomús,0,0,Sin datos
Centro Sur,Buenos Aires,Necochea,0,0,0
Centro Sur,Buenos Aires,Paraje Fra Pal,0,0,0
Centro Sur,Buenos Aires,Salto,0,0,0
Centro Sur,Buenos Aires,Trenque Lauquen,0,0,0
Centro Sur,Buenos Aires,Chillar,0,0,Sin datos
Centro Sur,Buenos Aires,Puan,0,0,0
Centro Sur,Buenos Aires,Viboras,Trampa perdida,0,0
Centro Sur,Buenos Aires,12 de Octubre,0,0,0
Centro Sur,Buenos Aires,Ferré,Trampa perdida,Trampa perdida,Sin datos
Centro Sur,Buenos Aires,San Miguel de Arcángel,0,0,0
Centro Sur,Buenos Aires,América,0,0,0
Centro Sur,Buenos Aires,Casey,0,Sin datos,Sin datos
Centro Sur,Buenos Aires,Guanaco,0,0,0
Centro Sur,Buenos Aires,Henderson,0,0,0
Centro Sur,Buenos Aires,Ayacucho,0,0,0
Centro Sur,Buenos Aires,Gral. Madariaga,0,0,Sin datos
Centro Sur,Buenos Aires,Orense,0,0,0
Centro Sur,Buenos Aires,Bragado,0,0,0
Centro Sur,Buenos Aires,San Pedro,0,0,0
Centro Sur,Buenos Aires,Alberdi,0,0,Sin datos
Centro Sur,Buenos Aires,Junín,0,0,0
Centro Sur,Buenos Aires,Pergamino,0,0,0
Centro Sur,Buenos Aires,Catriló,0,0,0
Centro Sur,Buenos Aires,Chivilcoy,0,0,0
Centro Sur,Buenos Aires,Pergamino,0,0,0
Centro Sur,Buenos Aires,Conesa,0,0,0
Centro Sur,Buenos Aires,San antonio de Areco,0,0,0
Centro Sur,Buenos Aires,Bordenave,0,0,0
Centro Sur,Buenos Aires,Gral. Villegas,0,0,0
Centro Sur,Buenos Aires,Ascasubi,0,0,0
Centro Sur,Buenos Aires,Bolivar,0,0,0
Centro Sur,Buenos Aires,Pehuajó,0,0,0
Centro Sur,Buenos Aires,Balcarce,0,0,0
Centro Sur,La Pampa,Macachín,0,0,Sin datos
Centro Sur,La Pampa,General Pico,0,0,0
Centro Sur,La Pampa,Quemú Quemú,0,0,0
Centro Sur,La Pampa,Santa Rosa,0,0,0
Centro Sur,La Pampa,Anguil 1,0,0,0
Uruguay,Uruguay,Mercedes,,,0
Uruguay,Uruguay,Peñarol,,,0
Uruguay,Uruguay,Los Arenales,0,0,0
Uruguay,Uruguay,Nueva Helvecia,0,0,0
Uruguay,Uruguay,Colonia,,,0
Uruguay,Uruguay,Palmitas,,,0
