region,institucion,provincia,localidad,informe,lectura_id,capturas_raw
NOA,CREA,Santiago Del Estero,Nueva Esperanza,1,1,2
NOA,CREA,Salta,Metan 1,1,1,6
NOA,CREA,Tucumán,Viclos,1,1,6
NOA,CREA,Santiago Del Estero,El Charco,1,1,7
NOA,CREA,Salta,Nstra Sra de,1,1,8
NOA,CREA,Tucumán,Trancas,1,1,8
NOA,CREA,Tucumán,Taco Ralo,1,1,9
NOA,CREA,Santiago Del Estero,San Pedro de,1,1,9
NOA,CREA,Tucumán,Acequiones,1,1,10
NOA,CREA,Tucumán,La Cocha 1,1,1,14
NOA,CREA,Tucumán,La Bajada,1,1,18
NOA,AAPRESID,Salta,Rivadavia,1,1,20
NOA,CREA,Tucumán,Rumi Punco,1,1,22
NOA,CREA,Salta,Tolloche,1,1,25
NOA,CREA,Salta,El Bordo,1,1,25
NOA,CREA,Salta,Las Lajitas,1,1,25
NOA,CREA,Santiago Del Estero,Temas de Río,1,1,25
NOA,CREA,Salta,Chaguaral,1,1,27
NOA,CREA,Catamarca,El Abra,1,1,27
NOA,CREA,Salta,Urundel,1,1,29
NOA,CREA,Santiago Del Estero,Pozo de Bedert,1,1,29
NOA,CREA,Salta,Ceibalito,1,1,30
NOA,AAPRESID,Santiago Del Estero,Roversi,1,1,0
NOA,AAPPCE,Santiago Del Estero,Bandera,1,1,1
NEA,AAPRESID,Chaco,Tres Isletas,1,1,5
NEA,AAPRESID,Entre Ríos,Viale,1,1,0
NEA,CREA,Entre Ríos,La Paz,1,1,0
NEA,AAPRESID,Entre Ríos,Don Cristóbal,1,1,0
NEA,AAPRESID,Corrientes,Mercedes,1,1,0
NEA,CREA,Entre Ríos,Molino Doll,1,1,1
NEA,CREA,Entre Ríos,Feliciano,1,1,1
NEA,AAPRESID,Corrientes,FCAUNNE,1,1,1
CENTRO NORTE,AAPRESID,Córdoba,San Francisco,1,1,0
CENTRO NORTE,AAPPCE,Córdoba,Freyre,1,1,0
CENTRO NORTE,AAPPCE,Córdoba,Morteros,1,1,0
CENTRO NORTE,CREA,Santa Fe,Ataliva,1,1,0
CENTRO NORTE,CREA,Santa Fe,Moisés Ville,1,1,0
CENTRO NORTE,CREA,Santa Fe,Esperanza,1,1,0
CENTRO NORTE,CREA,Santa Fe,San Jerónimo Norte,1,1,0
CENTRO NORTE,CREA,Santa Fe,San Martin de las Escobas,1,1,0
CENTRO NORTE,AAPPCE,Santa Fe,Vila,1,1,0
CENTRO NORTE,CREA,Santa Fe,Bernardo de Irigoyen,1,1,0
CENTRO NORTE,CREA,Santa Fe,San Fabián,1,1,0
CENTRO NORTE,AAPPCE,Santa Fe,San Vicente,1,1,0
CENTRO NORTE,AAPPCE,Santa Fe,El Fortín,1,1,0
CENTRO NORTE,AAPPCE,Santa Fe,Piamonte,1,1,0
CENTRO NORTE,AAPRESID,Santa Fe,Progreso,1,1,0
CENTRO NORTE,AAPRESID,Santa Fe,Gálvez,1,1,0
CENTRO NORTE,AAPRESID,Santa Fe,Montes de Oca,1,1,0
CENTRO NORTE,AAPPCE,Santa Fe,Landeta,1,1,1
CENTRO NORTE,AAPRESID,Santa Fe,La Camila,1,1,2
CENTRO NORTE,AAPPCE,Santa Fe,Ceres,1,1,3
CENTRO SUR,AAPRESID,Córdoba,Devoto,1,1,4
CENTRO SUR,AAPRESID,Córdoba,Capilla de Sitón,1,1,5
CENTRO SUR,AAPRESID,Santa Fe,Villa Trinidad,1,1,6
CENTRO SUR,AAPRESID,Córdoba,Cañada de Luque,1,1,11
CENTRO SUR,AAPRESID,Córdoba,Arroyito,1,1,12
CENTRO SUR,AAPPCE,Córdoba,Corralito,1,1,23
CENTRO SUR,CREA,Córdoba,General Levalle,1,1,0
CENTRO SUR,CREA,Córdoba,Cañada Seca,1,1,0
NOA,AAPRESID,Jujuy,Pálpala,2,1,147
NOA,AAPRESID,Jujuy,Pálpala,2,2,77
NOA,AAPRESID,Salta,Güemes,2,1,37
NOA,AAPRESID,Salta,Güemes,2,2,11
NOA,AAPRESID,Salta,Rivadavia,2,1,20
NOA,AAPRESID,Salta,Rivadavia,2,2,8
NOA,CREA,Salta,Ballivián,2,1,161
NOA,CREA,Salta,Ballivián,2,2,16
NOA,CREA,Salta,Ceibalito,2,1,30
NOA,CREA,Salta,Ceibalito,2,2,11
NOA,CREA,Salta,Chaguaral,2,1,27
NOA,CREA,Salta,Chaguaral,2,2,0
NOA,CREA,Salta,Copo Quiles,2,1,139
NOA,CREA,Salta,Copo Quiles,2,2,17
NOA,CREA,Salta,El Bordo,2,1,25
NOA,CREA,Salta,El Bordo,2,2,3
NOA,CREA,Salta,El Galpón,2,1,122
NOA,CREA,Salta,El Galpón,2,2,51
NOA,AAPRESID,Chaco,Tres Isletas,2,1,5
NOA,AAPRESID,Chaco,Tres Isletas,2,2,4
NOA,AAPRESID,Chaco,Pampa del Infierno,2,1,20
NOA,AAPRESID,Chaco,Pampa del Infierno,2,2,3
NOA,AAPRESID,Chaco,Concepción del Bermejo,2,1,0
NOA,AAPRESID,Chaco,Concepción del Bermejo,2,1,1
NOA,AAPRESID,Chaco,Campo Gallo,2,1,29
NOA,CREA,Chaco,Castelli,2,1,1
NOA,CREA,Chaco,Capdevilla,2,1,1
NOA,CREA,Chaco,Bermejo,2,1,6
NOA,AAPPCE,Santiago Del Estero,Weisburd,2,1,0
NOA,AAPPCE,Santiago Del Estero,Bandera,2,1,1
NOA,AAPPCE,Santiago Del Estero,Bandera,2,2,5
NOA,AAPRESID,Santiago Del Estero,Los Juries,2,1,3
NOA,AAPRESID,Santiago Del Estero,Los Juries,2,2,2
NOA,AAPRESID,Santiago Del Estero,Roversi,2,1,0
NOA,AAPRESID,Santiago Del Estero,Roversi,2,2,1
NOA,AAPRESID,Santiago Del Estero,Otumpas,2,1,0
NOA,AAPRESID,Santiago Del Estero,Tacañitas,2,1,0
NOA,AAPRESID,Santiago Del Estero,Sachayoj,2,1,3
NOA,AAPRESID,Santiago Del Estero,Sachayoj,2,1,0
NOA,CREA,Santiago Del Estero,Belgrano,2,1,0
NEA,AAPRESID,Corrientes,Mercedes,2,1,0
NEA,AAPRESID,Corrientes,Mercedes,2,2,0
NEA,AAPRESID,Corrientes,Corrientes,2,1,1
NEA,AAPRESID,Corrientes,Corrientes,2,2,0
NEA,CREA,Corrientes,Las Garzas,2,1,0
NEA,CREA,Corrientes,Las Garzas,2,2,0
NEA,AAPRESID,Entre Ríos,Viale,2,1,0
NEA,AAPRESID,Entre Ríos,Viale,2,2,2
NEA,AAPRESID,Entre Ríos,Sauce Pinto,2,1,1
NEA,AAPRESID,Entre Ríos,Gualeguay,2,1,0
NEA,AAPRESID,Entre Ríos,Gualeguay,2,2,0
NEA,AAPRESID,Entre Ríos,Don Cristóbal,2,1,0
NEA,AAPRESID,Entre Ríos,Don Cristóbal,2,2,0
NEA,CREA,Entre Ríos,Santa Elena,2,1,0
NEA,CREA,Entre Ríos,Santa Elena,2,2,1
NEA,CREA,Entre Ríos,Montoya,2,1,0
NEA,CREA,Entre Ríos,Montoya,2,2,0
NEA,CREA,Entre Ríos,La Paz,2,1,0
NEA,CREA,Entre Ríos,La Paz,2,2,0
NEA,CREA,Entre Ríos,Molino Doll,2,1,1
NEA,CREA,Entre Ríos,Molino Doll,2,2,0
NEA,CREA,Entre Ríos,Feliciano,2,1,1
NEA,CREA,Entre Ríos,Feliciano,2,2,0
NEA,CREA,Entre Ríos,Villa Lila,2,1,2
NEA,CREA,Entre Ríos,Villa Lila,2,2,0
NEA,CREA,Entre Ríos,Gualeguay,2,1,0
NEA,CREA,Entre Ríos,Victoria,2,1,5
NEA,CREA,Entre Ríos,Victoria,2,2,0
CENTRO NORTE,AAPRESID,San Luis,La Toma,2,1,0
CENTRO NORTE,CREA,San Luis,Las Chilcas,2,1,37
CENTRO NORTE,AAPRESID,Córdoba,San Francisco,2,1,0
CENTRO NORTE,AAPRESID,Córdoba,San Francisco,2,2,0
CENTRO NORTE,AAPPCE,Córdoba,Freyre,2,1,0
CENTRO NORTE,AAPPCE,Córdoba,Freyre,2,2,0
CENTRO NORTE,AAPPCE,Córdoba,Morteros,2,1,0
CENTRO NORTE,AAPPCE,Córdoba,Morteros,2,2,0
CENTRO NORTE,AAPRESID,Córdoba,Montecristo,2,1,4
CENTRO NORTE,AAPRESID,Córdoba,Montecristo,2,2,1
CENTRO NORTE,AAPRESID,Córdoba,Devoto,2,1,4
CENTRO NORTE,AAPRESID,Córdoba,Devoto,2,2,0
CENTRO NORTE,AAPRESID,Córdoba,Capilla de Sitón,2,1,5
CENTRO NORTE,AAPRESID,Córdoba,Capilla de Sitón,2,2,9
CENTRO NORTE,AAPRESID,Córdoba,Cañada de Luque,2,1,11
CENTRO NORTE,AAPRESID,Córdoba,Cañada de Luque,2,2,2
CENTRO NORTE,AAPRESID,Córdoba,Arroyito,2,1,12
CENTRO NORTE,AAPRESID,Córdoba,Arroyito,2,2,17
CENTRO NORTE,AAPPCE,Córdoba,Corralito,2,1,23
CENTRO NORTE,AAPPCE,Córdoba,Corralito,2,2,6
CENTRO NORTE,AAPPCE,Córdoba,Rayo Cortado,2,1,23
CENTRO NORTE,AAPRESID,Córdoba,Carrilobo,2,1,2
CENTRO NORTE,AAPRESID,Córdoba,Monte del Rosario,2,1,74
CENTRO NORTE,AAPRESID,Córdoba,Calamuchita,2,1,12
CENTRO NORTE,AAPRESID,Córdoba,Villa Sta. Rosa,2,1,2
CENTRO NORTE,AAPRESID,Córdoba,Laguna Larga,2,1,1
CENTRO NORTE,AAPRESID,Córdoba,Tancacha,2,1,16
CENTRO NORTE,AAPRESID,Córdoba,Rio segundo,2,1,1
CENTRO NORTE,AAPRESID,Córdoba,Villa María,2,1,0
CENTRO NORTE,AAPRESID,Córdoba,Obispo trejo,2,1,3
CENTRO NORTE,CREA,Córdoba,Colonia Tirolesa,2,1,1
CENTRO NORTE,CREA,Córdoba,Piquillín,2,1,0
CENTRO NORTE,CREA,Córdoba,Colón,2,1,0
CENTRO NORTE,CREA,Córdoba,Sebastián Elcano,2,1,144
CENTRO NORTE,CREA,Córdoba,Sacanta,2,1,0
CENTRO NORTE,CREA,Córdoba,Las Astillas,2,1,2
CENTRO NORTE,CREA,Córdoba,El Tío,2,1,4
CENTRO NORTE,CREA,Córdoba,Sinsacate,2,1,2
CENTRO NORTE,CREA,Córdoba,Tala Norte,2,1,2
CENTRO NORTE,AAPRESID,Córdoba,Santa Catalina,2,1,6
CENTRO NORTE,CREA,Santa Fe,Ataliva,2,1,0
CENTRO NORTE,CREA,Santa Fe,Ataliva,2,2,0
CENTRO NORTE,CREA,Santa Fe,Crispi,2,1,0
CENTRO SUR,AAPPCE,Córdoba,General Roca,2,14/08_al_17/08,0
CENTRO SUR,AAPPCE,Córdoba,Ana Zumaran,2,14/08_al_17/08,0
CENTRO SUR,AAPPCE,Córdoba,Ordoñez,2,14/08_al_17/08,0
CENTRO SUR,,Uruguay,Alido F. Chamizo,2,15/06_al_01/08,3
CENTRO SUR,,Uruguay,Gottero J. Colonia,2,15/06_al_01/08,6
CENTRO SUR,,Uruguay,Cimarelli N. Constancia,2,15/06_al_01/08,0
CENTRO SUR,,Uruguay,El Telegrafo Durazno,2,15/06_al_01/08,0
CENTRO SUR,,Uruguay,La Paloma Mercedes,2,15/06_al_01/08,0
CENTRO SUR,,Uruguay,UEDAP Palmitas,2,15/06_al_01/08,0
CENTRO NORTE,AAPRESID,Jujuy,Palpala,3,1,147
CENTRO NORTE,AAPRESID,Jujuy,Palpala,3,2,77
CENTRO NORTE,AAPRESID,Jujuy,Palpala,3,3,9
CENTRO NORTE,CREA,Jujuy,EL Carmen,3,1,186
CENTRO NORTE,CREA,Jujuy,EL Carmen,3,2,31
CENTRO NORTE,CREA,Jujuy,Fraile Pintado,3,1,7
CENTRO NORTE,CREA,Jujuy,Fraile Pintado,3,2,9
NOA,CREA,Formosa,Campo del Cielo,3,2,0
NOA,CREA,Formosa,Campo del Cielo,3,15/07_al_02/08,0
NOA,AAPRESID,Chaco,Tres Isletas,3,2,4
NOA,AAPRESID,Chaco,Tres Isletas,3,3,0
NOA,AAPRESID,Chaco,Tres Isletas,3,15/07_al_02/08,5
NOA,AAPRESID,Chaco,Pampa del Infierno,3,2,3
NOA,AAPRESID,Chaco,Pampa del Infierno,3,3,2
NOA,AAPRESID,Chaco,Pampa del Infierno,3,15/07_al_02/08,20
NOA,AAPRESID,Chaco,Concepcion del,3,2,0
NOA,AAPRESID,Chaco,Concepcion del,3,15/07_al_02/08,1
NOA,AAPRESID,Chaco,Campo Gallo,3,2,1
NOA,AAPRESID,Chaco,Campo Gallo,3,15/07_al_02/08,29
NOA,CREA,Chaco,Los Frentones,3,2,0
NOA,CREA,Chaco,Los Frentones,3,15/07_al_02/08,4
NOA,CREA,Chaco,Castelli,3,2,0
NOA,CREA,Chaco,Castelli,3,15/07_al_02/08,1
NOA,CREA,Chaco,El Timbo Pampa,3,2,0
NOA,CREA,Chaco,El Timbo Pampa,3,15/07_al_02/08,1
NOA,CREA,Chaco,El tocon Bermejo,3,2,0
NOA,CREA,Chaco,El tocon Bermejo,3,15/07_al_02/08,6
LITORAL,AAPRESID,Corrientes,Mercedes,3,1,0
LITORAL,AAPRESID,Corrientes,Mercedes,3,2,0
LITORAL,AAPRESID,Corrientes,Mercedes,3,3,1
LITORAL,AAPRESID,Corrientes,Corrientes,3,1,1
LITORAL,AAPRESID,Corrientes,Corrientes,3,2,0
LITORAL,AAPRESID,Corrientes,Corrientes,3,3,0
LITORAL,AAPPCE,Entre Ríos,Don Cristobal,3,1,0
LITORAL,AAPPCE,Entre Ríos,Don Cristobal,3,2,0
LITORAL,AAPPCE,Entre Ríos,De Isletas,3,1,0
LITORAL,AAPPCE,Entre Ríos,De Isletas,3,2,0
LITORAL,AAPPCE,Entre Ríos,La paz,3,1,0
LITORAL,AAPPCE,Entre Ríos,La paz,3,2,0
LITORAL,AAPPCE,Entre Ríos,Hinojal,3,1,0
LITORAL,AAPPCE,Entre Ríos,Hinojal,3,2,0
LITORAL,AAPRESID,Entre Ríos,Colonia Celina,3,1,0
LITORAL,AAPRESID,Entre Ríos,Viale,3,1,0
LITORAL,AAPRESID,Entre Ríos,Viale,3,2,2
LITORAL,AAPRESID,Entre Ríos,Viale,3,3,0
LITORAL,AAPRESID,Entre Ríos,Sauce Pinto,3,1,1
LITORAL,AAPRESID,Entre Ríos,Sauce Pinto,3,2,0
LITORAL,AAPRESID,Entre Ríos,Gualeguay,3,1,0
LITORAL,AAPRESID,Entre Ríos,Gualeguay,3,2,0
LITORAL,AAPRESID,Entre Ríos,Gualeguay,3,3,0
LITORAL,AAPRESID,Entre Ríos,Paso de las Piedras,3,1,0
LITORAL,AAPRESID,Entre Ríos,Paso de las Piedras,3,2,1
LITORAL,AAPRESID,Entre Ríos,Villa Hernandarias,3,1,0
LITORAL,AAPRESID,Entre Ríos,Villa Hernandarias,3,2,0
LITORAL,AAPRESID,Entre Ríos,Don Cristobal,3,1,0
LITORAL,AAPRESID,Entre Ríos,Don Cristobal,3,2,0
LITORAL,AAPRESID,Entre Ríos,Don Cristobal,3,3,0
LITORAL,CREA,Entre Ríos,Las Garzas,3,1,0
LITORAL,CREA,Entre Ríos,Las Garzas,3,2,0
LITORAL,CREA,Entre Ríos,Las Garzas,3,3,2
LITORAL,CREA,Entre Ríos,Santa Elena,3,1,0
LITORAL,CREA,Entre Ríos,Santa Elena,3,2,1
LITORAL,CREA,Entre Ríos,Santa Elena,3,3,0
LITORAL,CREA,Entre Ríos,Montoya,3,1,0
LITORAL,CREA,Entre Ríos,Montoya,3,2,0
LITORAL,CREA,Entre Ríos,Montoya,3,3,0
LITORAL,CREA,Entre Ríos,La Paz,3,1,0
LITORAL,CREA,Entre Ríos,La Paz,3,2,0
LITORAL,CREA,Entre Ríos,La Paz,3,3,0
LITORAL,CREA,Entre Ríos,Molino Doll,3,1,1
LITORAL,CREA,Entre Ríos,Molino Doll,3,2,0
LITORAL,CREA,Entre Ríos,Molino Doll,3,3,0
LITORAL,CREA,Entre Ríos,Feliciano,3,1,1
LITORAL,CREA,Entre Ríos,Feliciano,3,2,0
LITORAL,CREA,Entre Ríos,Feliciano,3,3,0
LITORAL,CREA,Entre Ríos,Villa Lila,3,1,2
LITORAL,CREA,Entre Ríos,Villa Lila,3,2,0
LITORAL,CREA,Entre Ríos,Villa Lila,3,3,0
LITORAL,CREA,Entre Ríos,Gualeguay,3,1,0
LITORAL,CREA,Entre Ríos,Gualeguay,3,2,1
LITORAL,CREA,Entre Ríos,Victoria,3,1,5
LITORAL,CREA,Entre Ríos,Victoria,3,2,0
LITORAL,CREA,Entre Ríos,Victoria,3,3,5
LITORAL,CREA,Entre Ríos,San Fernando,3,1,2
LITORAL,CREA,Entre Ríos,San Fernando,3,2,0
LITORAL,INTA,Entre Ríos,Nogoya,3,1,0
LITORAL,INTA,Entre Ríos,Nogoya,3,2,0
LITORAL,INTA,Entre Ríos,Parana,3,1,0
LITORAL,INTA,Entre Ríos,Gualeguaychú,3,1,0
LITORAL,INTA,Entre Ríos,Concepción del Uruguay,3,1,0
LITORAL,CREA,Entre Ríos,Arroyo Barú,3,1,0
LITORAL,AAPRESID,Corrientes,Ambosio,3,1,0
CENTRO NORTE,AAPRESID,San Luis,La Toma,3,2,0
CENTRO NORTE,AAPRESID,San Luis,La Toma,3,15/07_al_02/08,0
CENTRO NORTE,AAPPCE,Córdoba,Corralito,3,2,6
CENTRO NORTE,AAPPCE,Córdoba,Corralito,3,3,0
CENTRO NORTE,AAPPCE,Córdoba,Corralito,3,15/07_al_02/08,23
CENTRO NORTE,AAPPCE,Córdoba,Freyre,3,2,0
CENTRO NORTE,AAPPCE,Córdoba,Freyre,3,3,0
CENTRO NORTE,AAPPCE,Córdoba,Freyre,3,15/07_al_02/08,0
CENTRO NORTE,AAPPCE,Córdoba,Morteros,3,2,0
CENTRO NORTE,AAPPCE,Córdoba,Morteros,3,3,0
CENTRO NORTE,AAPPCE,Córdoba,Morteros,3,15/07_al_02/08,0
CENTRO NORTE,AAPPCE,Córdoba,Rayo Cortado,3,2,0
CENTRO NORTE,AAPPCE,Córdoba,Rayo Cortado,3,15/07_al_02/08,23
CENTRO NORTE,AAPPCE,Córdoba,Jesus María,3,15/07_al_02/08,2
CENTRO NORTE,AAPPCE,Córdoba,Río Ceballos,3,2,1
CENTRO NORTE,AAPPCE,Córdoba,Río Ceballos,3,15/07_al_02/08,13
CENTRO NORTE,AAPRESID,Córdoba,Arroyito,3,2,17
CENTRO NORTE,AAPRESID,Córdoba,Arroyito,3,3,6
CENTRO NORTE,AAPRESID,Córdoba,Arroyito,3,15/07_al_02/08,12
CENTRO NORTE,AAPRESID,Córdoba,Cañada de Luque,3,2,2
CENTRO NORTE,AAPRESID,Córdoba,Cañada de Luque,3,3,0
CENTRO NORTE,AAPRESID,Córdoba,Cañada de Luque,3,15/07_al_02/08,11
CENTRO SUR,AAPRESID,San Luís,La Angelina,3,1,0
CENTRO SUR,AAPRESID,San Luís,La Angelina,3,2,0
CENTRO SUR,AAPRESID,San Luís,Nueva Galia,3,1,0
CENTRO SUR,AAPRESID,San Luís,Nueva Galia,3,2,0
CENTRO SUR,CREA,San Luís,Buena Esperanza,3,1,0
CENTRO SUR,CREA,San Luís,Buena Esperanza,3,2,0
CENTRO SUR,CREA,San Luís,Juan Jorba,3,1,5
CENTRO SUR,CREA,San Luís,Juan Jorba,3,2,1
CENTRO SUR,CREA,San Luís,Juan Jorba,3,3,0
CENTRO SUR,CREA,San Luís,Los Molles,3,1,4
CENTRO SUR,CREA,San Luís,Los Molles,3,2,1
CENTRO SUR,CREA,San Luís,Los Molles,3,3,1
CENTRO SUR,CREA,San Luís,Naschel,3,1,0
CENTRO SUR,CREA,San Luís,Naschel,3,2,0
CENTRO SUR,AAPPCE,Córdoba,Ana Zumaran,3,1,0
CENTRO SUR,AAPPCE,Córdoba,Ana Zumaran,3,2,0
CENTRO SUR,AAPPCE,Córdoba,Cnel. Baigorria,3,1,37
CENTRO SUR,AAPPCE,Córdoba,Cnel. Baigorria,3,2,Sin datos
CENTRO SUR,AAPPCE,Córdoba,General Roca,3,1,0
CENTRO SUR,AAPPCE,Córdoba,General Roca,3,2,0
CENTRO SUR,AAPPCE,Córdoba,Gral. Cabrera,3,1,4
CENTRO SUR,AAPPCE,Córdoba,Gral. Cabrera,3,2,Sin datos
CENTRO SUR,AAPPCE,Córdoba,La playosa,3,1,0
CENTRO SUR,AAPPCE,Córdoba,La playosa,3,2,Sin datos
CENTRO SUR,AAPPCE,Córdoba,Ordoñez,3,1,0
CENTRO SUR,AAPPCE,Córdoba,Ordoñez,3,2,0
CENTRO SUR,AAPPCE,Córdoba,Villa María,3,1,0
CENTRO SUR,AAPRESID,Córdoba,Benjamín Gould,3,1,0
CENTRO SUR,AAPRESID,Córdoba,Benjamín Gould,3,2,0
CENTRO SUR,AAPRESID,Córdoba,Buchardo,3,1,0
CENTRO SUR,AAPRESID,Córdoba,Buchardo,3,2,0
CENTRO SUR,AAPRESID,Córdoba,Coronel Moldes,3,1,7
CENTRO SUR,AAPRESID,Córdoba,Coronel Moldes,3,2,5
CENTRO SUR,AAPRESID,Córdoba,Coronel Moldes,3,3,0
CENTRO SUR,AAPRESID,Córdoba,Corral de Bustos,3,1,0
CENTRO SUR,AAPRESID,Córdoba,Corral de Bustos,3,2,0
CENTRO SUR,AAPRESID,Córdoba,Guatimozin,3,1,0
CENTRO SUR,AAPRESID,Córdoba,Guatimozin,3,2,0
CENTRO SUR,AAPRESID,Córdoba,Guatimozin,3,3,0
CENTRO SUR,AAPRESID,Córdoba,Idiazabal,3,1,0
CENTRO SUR,AAPRESID,Córdoba,Idiazabal,3,2,0
CENTRO SUR,AAPRESID,Córdoba,Lecueder,3,1,0
CENTRO SUR,AAPRESID,Córdoba,Lecueder,3,2,0
CENTRO SUR,AAPRESID,Córdoba,Villa Valeria,3,1,0
CENTRO SUR,AAPRESID,Córdoba,Villa Valeria,3,2,0
CENTRO SUR,AAPRESID,Córdoba,Villa Valeria,3,3,0
CENTRO SUR,AAPRESID,Córdoba,Jovita,3,1,0
CENTRO SUR,AAPRESID,Córdoba,Jovita,3,2,0
CENTRO SUR,AAPRESID,Córdoba,Jovita,3,3,0
CENTRO SUR,AAPRESID,Córdoba,Adelia María,3,1,1
CENTRO SUR,AAPRESID,Córdoba,Adelia María,3,2,1
CENTRO SUR,AGTSA,,Vergara,3,15/07_al_02/08,0
CENTRO SUR,AGTSA,,Rosario,3,2,0
CENTRO SUR,AGTSA,,Rosario,3,15/07_al_02/08,6
CENTRO SUR,AGTSA,,Acegua,3,15/07_al_02/08,0
CENTRO SUR,AGTSA,,Chamizo,3,2,1
CENTRO SUR,AGTSA,,Chamizo,3,15/07_al_02/08,3
CENTRO SUR,AGTSA,,Colonia,3,2,0
CENTRO SUR,AGTSA,,Colonia,3,15/07_al_02/08,6
CENTRO SUR,AGTSA,,Young,3,2,2
CENTRO SUR,AGTSA,,Young,3,15/07_al_02/08,1
CENTRO SUR,AGTSA,,Mercedes,3,2,0
CENTRO SUR,AGTSA,,Mercedes,3,15/07_al_02/08,0
NOA,AAPRESID,Jujuy,Palpala,4,2,77
NOA,AAPRESID,Jujuy,Palpala,4,3,9
NOA,AAPRESID,Jujuy,Palpala,4,4,1
NOA,CREA,Jujuy,EL Carmen,4,2,186
NOA,CREA,Jujuy,EL Carmen,4,3,31
NOA,CREA,Jujuy,EL Carmen,4,4,9
NOA,CREA,Jujuy,Fraile Pintado,4,2,7
NOA,CREA,Jujuy,Fraile Pintado,4,3,9
NOA,CREA,Jujuy,Fraile Pintado,4,4,2
NOA,CREA,Jujuy,Santa Clara,4,2,11
NOA,CREA,Jujuy,Santa Clara,4,3,11
NOA,CREA,Jujuy,Santa Clara,4,4,2
NOA,INTA,Jujuy,El bananal,4,2,1
NOA,AAPPCE,Salta,Rio Piedras,4,2,120
NOA,AAPPCE,Salta,Rio Piedras,4,3,25
NOA,AAPPCE,Salta,Rio Piedras,4,4,5
NOA,AAPPCE,Salta,Macapillo,4,2,15
NOA,AAPPCE,Salta,Macapillo,4,3,3
NOA,AAPRESID,Salta,Güemes,4,2,11
NOA,AAPRESID,Salta,Güemes,4,3,12
NOA,AAPRESID,Salta,Güemes,4,4,5
NOA,AAPRESID,Salta,Rivadavia,4,2,8
NOA,AAPRESID,Salta,Rivadavia,4,3,4
NOA,AAPRESID,Salta,Rivadavia,4,4,2
NOA,AAPRESID,Salta,Piquete Cabado 1,4,2,49
NOA,AAPRESID,Salta,Piquete Cabado 1,4,3,6
NOA,AAPRESID,Salta,Piquete Cabado 1,4,4,1
NOA,CREA,Salta,Antilla 5 3,4,2,Trampa
NOA,CREA,Salta,Ballivián,4,2,16
NOA,CREA,Salta,Ballivián,4,3,1
NOA,CREA,Salta,Ballivián,4,4,0
NOA,CREA,Salta,Ceibalito,4,2,11
NOA,CREA,Salta,Ceibalito,4,3,6
NOA,CREA,Salta,Ceibalito,4,4,3
NOA,CREA,Salta,Chaguaral,4,2,0
NOA,CREA,Salta,Chaguaral,4,3,0
NOA,CREA,Salta,Chaguaral,4,4,0
NOA,CREA,Salta,Copo Quiles,4,2,17
NOA,CREA,Salta,Copo Quiles,4,3,4
NOA,CREA,Salta,Copo Quiles,4,4,0
NOA,CREA,Salta,El Bordo,4,2,3
NOA,CREA,Salta,El Bordo,4,3,1
NOA,CREA,Salta,El Bordo,4,4,0
NOA,CREA,Salta,El Galpón,4,2,51
NOA,CREA,Salta,El Galpón,4,3,21
NOA,CREA,Salta,El Galpón,4,4,13
NOA,CREA,Salta,El Tunal,4,2,0
NOA,CREA,Salta,El Tunal,4,3,0
NOA,CREA,Salta,Embarcación,4,2,44
NOA,CREA,Salta,Embarcación,4,3,7
NOA,CREA,Salta,Embarcación,4,4,0
NOA,CREA,Salta,Gral Pizarro,4,2,5
NOA,CREA,Salta,Gral Pizarro,4,3,1
NOA,CREA,Salta,Gral Pizarro,4,4,0
NOA,CREA,Salta,Horcones,4,2,6
NOA,CREA,Salta,Horcones,4,3,3
NOA,CREA,Salta,J V Gonzales,4,2,7
NOA,CREA,Salta,J V Gonzales,4,3,1
NOA,CREA,Salta,J V Gonzales,4,4,1
NOA,CREA,Salta,Las Lajitas (este),4,2,43
NOA,CREA,Salta,Las Lajitas (este),4,3,8
NOA,CREA,Salta,Las Lajitas (este),4,4,2
NOA,CREA,Salta,Las Lajitas T3,4,2,0
NOA,CREA,Salta,Las Lajitas T3,4,3,1
NOA,CREA,Salta,Las Lajitas T3,4,4,2
NOA,CREA,Salta,Metan 1,4,2,4
NOA,CREA,Salta,Metan 1,4,3,0
NOA,CREA,Salta,Metan 1,4,4,0
NOA,CREA,Salta,Metan 2,4,2,2
NOA,CREA,Salta,Metan 2,4,3,4
NOA,CREA,Salta,Metan 2,4,4,2
NOA,CREA,Salta,Mollinedo,4,2,21
NOA,CREA,Salta,Mollinedo,4,3,4
NOA,CREA,Salta,Mollinedo,4,4,3
NOA,CREA,Salta,Mosconi,4,2,26
NOA,CREA,Salta,Mosconi,4,3,7
NOA,CREA,Salta,Mosconi,4,4,1
NOA,CREA,Salta,Nstra Sra de,4,2,0
NOA,CREA,Salta,Nstra Sra de,4,3,4
NOA,CREA,Salta,Nstra Sra de,4,4,0
NEA,CREA,Formosa,Las Lomitas,4,2,0
NEA,CREA,Formosa,Las Lomitas,4,3,0
NEA,CREA,Formosa,El Naranjo,4,2,1
NEA,CREA,Formosa,Campo del Cielo,4,2,0
NEA,CREA,Formosa,Campo del Cielo,4,3,0
NEA,CREA,Formosa,Campo del Cielo,4,4,0
NEA,INTA,Formosa,"Comandante
Fontana",4,2,0
